FECHA,Temp_Ponderada_MAX,Temp_Ponderada_MIN
2021-10-01,25.06,14.28
2021-10-02,24.99,14.3
2021-10-03,22.5,13.0
2021-10-04,19.24,10.54
2021-10-05,23.24,11.1
2021-10-06,22.22,13.15
2021-10-07,23.75,11.34
2021-10-08,23.69,12.07
2021-10-09,22.24,12.38
2021-10-10,22.01,13.0
2021-10-11,23.12,11.37
2021-10-12,23.22,10.67
2021-10-13,22.92,10.88
2021-10-14,22.55,10.36
2021-10-15,23.69,11.09
2021-10-16,21.51,11.97
2021-10-17,21.75,13.2
2021-10-18,23.34,13.51
2021-10-19,24.63,14.28
2021-10-20,24.1,14.93
2021-10-21,21.46,13.0
2021-10-22,20.09,11.21
2021-10-23,19.9,8.71
2021-10-24,21.2,7.78
2021-10-25,20.77,8.61
2021-10-26,21.16,9.72
2021-10-27,20.92,8.66
2021-10-28,20.72,9.08
2021-10-29,19.32,12.43
2021-10-30,20.02,14.53
2021-10-31,22.1,14.47
2021-11-01,20.03,11.83
2021-11-02,16.97,9.28
2021-11-03,14.55,7.49
2021-11-04,14.53,5.43
2021-11-05,14.18,5.08
2021-11-06,15.48,4.63
2021-11-07,16.28,4.14
2021-11-08,18.27,6.3
2021-11-09,16.64,6.01
2021-11-10,16.05,6.54
2021-11-11,16.89,7.1
2021-11-12,17.6,8.57
2021-11-13,17.55,8.36
2021-11-14,16.59,6.68
2021-11-15,15.02,6.83
2021-11-16,14.2,5.95
2021-11-17,15.33,6.01
2021-11-18,15.22,5.18
2021-11-19,16.11,5.23
2021-11-20,14.82,6.54
2021-11-21,16.11,7.73
2021-11-22,12.21,6.33
2021-11-23,11.17,6.06
2021-11-24,10.98,5.13
2021-11-25,11.47,5.06
2021-11-26,11.94,4.38
2021-11-27,10.98,3.07
2021-11-28,9.57,2.47
2021-11-29,13.69,4.4
2021-11-30,13.89,3.62
2021-12-01,13.0,3.23
2021-12-02,11.84,4.59
2021-12-03,13.01,3.21
2021-12-04,15.32,4.61
2021-12-05,12.06,5.12
2021-12-06,13.89,4.6
2021-12-07,14.12,4.89
2021-12-08,11.2,4.99
2021-12-09,12.17,4.76
2021-12-10,15.56,7.92
2021-12-11,15.55,6.21
2021-12-12,15.54,5.34
2021-12-13,13.98,3.95
2021-12-14,14.42,3.54
2021-12-15,15.29,3.41
2021-12-16,13.54,3.2
2021-12-17,12.61,3.47
2021-12-18,11.97,3.02
2021-12-19,12.39,3.57
2021-12-20,12.56,2.99
2021-12-21,13.56,4.86
2021-12-22,12.64,7.02
2021-12-23,13.5,7.76
2021-12-24,13.82,8.98
2021-12-25,14.42,8.49
2021-12-26,14.71,8.05
2021-12-27,17.66,10.12
2021-12-28,17.86,10.54
2021-12-29,17.8,8.74
2021-12-30,18.09,6.72
2021-12-31,17.27,5.13
2022-01-01,16.6,4.95
2022-01-02,14.72,4.92
2022-01-03,14.95,5.02
2022-01-04,16.77,6.05
2022-01-05,11.09,3.97
2022-01-06,10.18,1.52
2022-01-07,11.82,1.34
2022-01-08,11.98,1.96
2022-01-09,14.3,5.63
2022-01-10,14.3,7.83
2022-01-11,14.61,5.03
2022-01-12,12.36,3.07
2022-01-13,11.5,0.41
2022-01-14,11.63,-0.31
2022-01-15,11.7,-0.37
2022-01-16,12.17,-0.68
2022-01-17,13.02,0.25
2022-01-18,12.74,-0.02
2022-01-19,12.51,0.26
2022-01-20,12.98,1.18
2022-01-21,10.44,1.12
2022-01-22,10.99,0.05
2022-01-23,11.59,0.43
2022-01-24,11.48,1.07
2022-01-25,12.87,1.7
2022-01-26,13.47,0.97
2022-01-27,14.72,1.27
2022-01-28,16.07,1.34
2022-01-29,16.47,1.22
2022-01-30,17.06,1.53
2022-01-31,15.78,1.96
2022-02-01,15.02,4.84
2022-02-02,19.0,3.43
2022-02-03,17.2,3.23
2022-02-04,14.43,4.29
2022-02-05,14.48,5.5
2022-02-06,14.6,3.24
2022-02-07,16.69,3.13
2022-02-08,16.63,3.95
2022-02-09,15.6,3.8
2022-02-10,14.62,3.19
2022-02-11,16.21,4.51
2022-02-12,14.38,5.44
2022-02-13,14.9,7.25
2022-02-14,14.66,5.92
2022-02-15,15.16,4.09
2022-02-16,16.06,6.37
2022-02-17,18.76,6.29
2022-02-18,18.48,5.38
2022-02-19,12.99,5.55
2022-02-20,15.22,3.4
2022-02-21,18.6,4.42
2022-02-22,18.52,4.71
2022-02-23,17.81,4.48
2022-02-24,16.34,5.78
2022-02-25,13.52,6.7
2022-02-26,12.86,5.68
2022-02-27,14.58,5.72
2022-02-28,16.24,5.89
2022-03-01,17.43,4.53
2022-03-02,15.88,6.97
2022-03-03,13.93,5.95
2022-03-04,14.14,5.82
2022-03-05,13.49,5.48
2022-03-06,11.82,4.94
2022-03-07,12.32,5.41
2022-03-08,13.11,5.29
2022-03-09,14.77,4.75
2022-03-10,15.35,6.77
2022-03-11,14.36,8.09
2022-03-12,14.35,6.37
2022-03-13,15.3,6.62
2022-03-14,13.77,7.86
2022-03-15,17.15,10.85
2022-03-16,15.54,10.84
2022-03-17,13.94,9.69
2022-03-18,15.0,8.86
2022-03-19,14.3,7.86
2022-03-20,15.15,8.75
2022-03-21,14.58,9.53
2022-03-22,13.95,8.45
2022-03-23,13.68,7.29
2022-03-24,13.6,7.55
2022-03-25,14.8,9.26
2022-03-26,14.15,8.87
2022-03-27,17.6,8.28
2022-03-28,18.35,7.42
2022-03-29,16.31,9.26
2022-03-30,14.21,8.36
2022-03-31,14.9,6.72
2022-04-01,12.52,3.83
2022-04-02,13.19,2.05
2022-04-03,10.42,1.72
2022-04-04,12.1,1.77
2022-04-05,13.91,3.22
2022-04-06,17.11,5.47
2022-04-07,21.19,6.85
2022-04-08,20.64,9.43
2022-04-09,19.06,9.83
2022-04-10,19.83,8.89
2022-04-11,19.65,9.26
2022-04-12,15.87,10.11
2022-04-13,16.32,8.68
2022-04-14,20.9,9.76
2022-04-15,23.7,10.44
2022-04-16,24.74,11.2
2022-04-17,23.25,10.72
2022-04-18,21.26,10.65
2022-04-19,17.53,8.71
2022-04-20,13.97,7.92
2022-04-21,15.65,7.09
2022-04-22,15.65,7.88
2022-04-23,14.91,7.94
2022-04-24,19.5,8.2
2022-04-25,20.11,8.07
2022-04-26,20.94,9.31
2022-04-27,18.73,11.08
2022-04-28,18.4,11.03
2022-04-29,23.01,10.53
2022-04-30,22.52,12.02
2022-05-01,22.63,11.84
2022-05-02,19.22,12.38
2022-05-03,18.18,11.37
2022-05-04,19.13,10.71
2022-05-05,21.99,10.66
2022-05-06,22.09,9.84
2022-05-07,23.94,10.87
2022-05-08,24.43,11.53
2022-05-09,25.45,12.16
2022-05-10,26.04,12.36
2022-05-11,24.67,12.72
2022-05-12,23.53,13.05
2022-05-13,25.91,12.94
2022-05-14,26.09,14.86
2022-05-15,25.23,14.91
2022-05-16,26.27,14.35
2022-05-17,26.64,14.43
2022-05-18,28.85,15.66
2022-05-19,28.82,16.63
2022-05-20,29.72,17.02
2022-05-21,31.17,16.77
2022-05-22,28.85,17.14
2022-05-23,26.35,15.56
2022-05-24,20.19,11.99
2022-05-25,20.85,10.5
2022-05-26,25.61,13.03
2022-05-27,28.18,15.02
2022-05-28,30.29,15.75
2022-05-29,27.77,16.0
2022-05-30,24.51,15.62
2022-05-31,27.02,14.53
2022-06-01,26.83,16.16
2022-06-02,26.54,16.42
2022-06-03,27.26,17.11
2022-06-04,26.87,16.34
2022-06-05,28.2,15.92
2022-06-06,28.24,16.63
2022-06-07,28.79,17.15
2022-06-08,26.94,18.17
2022-06-09,28.73,17.97
2022-06-10,30.26,17.41
2022-06-11,31.17,18.87
2022-06-12,31.89,19.79
2022-06-13,33.08,19.68
2022-06-14,32.78,20.2
2022-06-15,33.83,21.22
2022-06-16,33.9,21.17
2022-06-17,35.59,21.91
2022-06-18,33.57,21.25
2022-06-19,28.3,19.66
2022-06-20,27.82,19.21
2022-06-21,28.35,17.39
2022-06-22,26.5,17.46
2022-06-23,26.55,17.91
2022-06-24,28.16,16.67
2022-06-25,26.99,16.61
2022-06-26,26.14,17.07
2022-06-27,26.55,17.04
2022-06-28,28.75,16.04
2022-06-29,28.55,16.88
2022-06-30,27.39,17.6
2022-07-01,27.29,15.3
2022-07-02,28.97,16.93
2022-07-03,29.36,18.69
2022-07-04,31.71,19.67
2022-07-05,31.95,20.19
2022-07-06,29.7,20.07
2022-07-07,30.66,18.87
2022-07-08,31.7,18.98
2022-07-09,33.21,19.78
2022-07-10,33.59,20.35
2022-07-11,33.4,20.87
2022-07-12,34.86,21.22
2022-07-13,35.39,22.09
2022-07-14,35.39,22.17
2022-07-15,35.88,21.96
2022-07-16,35.75,22.57
2022-07-17,35.49,22.41
2022-07-18,34.18,21.56
2022-07-19,31.73,21.36
2022-07-20,32.48,20.6
2022-07-21,34.07,21.65
2022-07-22,33.54,21.87
2022-07-23,33.47,21.18
2022-07-24,34.7,21.47
2022-07-25,33.4,21.96
2022-07-26,32.35,21.55
2022-07-27,31.67,20.74
2022-07-28,31.93,20.83
2022-07-29,32.45,21.77
2022-07-30,32.89,21.81
2022-07-31,34.05,22.09
2022-08-01,34.92,22.38
2022-08-02,35.06,23.22
2022-08-03,34.36,22.69
2022-08-04,33.76,22.52
2022-08-05,33.14,20.99
2022-08-06,33.9,20.9
2022-08-07,33.42,22.04
2022-08-08,33.54,20.9
2022-08-09,34.25,21.99
2022-08-10,34.18,22.5
2022-08-11,33.37,21.85
2022-08-12,34.35,21.66
2022-08-13,32.32,21.78
2022-08-14,32.65,20.79
2022-08-15,28.36,18.18
2022-08-16,29.7,19.79
2022-08-17,29.47,17.14
2022-08-18,27.74,16.58
2022-08-19,30.28,16.46
2022-08-20,32.01,18.27
2022-08-21,32.43,19.98
2022-08-22,31.21,20.9
2022-08-23,32.74,20.91
2022-08-24,32.68,21.97
2022-08-25,31.71,20.86
2022-08-26,31.3,19.9
2022-08-27,31.56,19.91
2022-08-28,32.38,20.32
2022-08-29,31.04,20.87
2022-08-30,31.94,20.55
2022-08-31,30.94,18.87
2022-09-01,30.51,17.68
2022-09-02,30.36,19.38
2022-09-03,28.81,18.67
2022-09-04,29.39,18.39
2022-09-05,29.76,18.85
2022-09-06,29.82,18.62
2022-09-07,28.71,17.64
2022-09-08,28.37,18.88
2022-09-09,29.69,18.93
2022-09-10,30.71,18.35
2022-09-11,31.69,20.31
2022-09-12,30.68,21.36
2022-09-13,28.52,20.52
2022-09-14,26.64,18.42
2022-09-15,27.26,17.78
2022-09-16,27.71,17.85
2022-09-17,26.6,16.83
2022-09-18,27.21,16.67
2022-09-19,27.68,16.92
2022-09-20,27.27,17.27
2022-09-21,27.06,16.33
2022-09-22,27.04,16.41
2022-09-23,26.72,15.74
2022-09-24,23.76,14.92
2022-09-25,22.43,13.04
2022-09-26,23.56,12.33
2022-09-27,24.35,12.36
2022-09-28,25.03,13.74
2022-09-29,21.6,13.48
2022-09-30,22.04,11.3
2022-10-01,24.25,10.21
2022-10-02,26.87,12.32
2022-10-03,26.91,13.98
2022-10-04,27.43,14.56
2022-10-05,25.98,13.98
2022-10-06,25.32,15.56
2022-10-07,23.42,14.52
2022-10-08,24.08,14.86
2022-10-09,24.4,14.43
2022-10-10,21.69,14.76
2022-10-11,22.7,15.25
2022-10-12,23.81,13.7
2022-10-13,24.72,13.51
2022-10-14,26.0,13.91
2022-10-15,25.82,13.67
2022-10-16,25.51,14.65
2022-10-17,24.98,16.33
2022-10-18,26.59,15.98
2022-10-19,24.85,16.75
2022-10-20,22.63,16.4
2022-10-21,22.35,16.13
2022-10-22,23.9,14.72
2022-10-23,22.66,15.38
2022-10-24,22.99,14.61
2022-10-25,24.96,14.69
2022-10-26,25.03,15.08
2022-10-27,24.63,15.54
2022-10-28,23.9,14.63
2022-10-29,23.19,13.74
2022-10-30,21.36,12.96
2022-10-31,20.7,13.23
2022-11-01,21.67,12.6
2022-11-02,21.23,11.41
2022-11-03,19.8,12.23
2022-11-04,18.53,8.58
2022-11-05,19.09,6.65
2022-11-06,20.18,5.9
2022-11-07,19.96,7.24
2022-11-08,18.78,10.17
2022-11-09,19.61,10.32
2022-11-10,18.91,9.24
2022-11-11,19.26,9.08
2022-11-12,20.48,12.06
2022-11-13,19.71,9.96
2022-11-14,18.66,11.19
2022-11-15,18.61,12.56
2022-11-16,17.83,12.73
2022-11-17,20.12,12.65
2022-11-18,15.16,8.83
2022-11-19,13.87,6.43
2022-11-20,16.15,6.0
2022-11-21,15.11,7.73
2022-11-22,14.29,6.95
2022-11-23,18.39,9.57
2022-11-24,14.83,8.48
2022-11-25,15.77,6.58
2022-11-26,15.96,4.77
2022-11-27,15.45,3.65
2022-11-28,13.67,6.2
2022-11-29,14.02,5.0
2022-11-30,13.49,4.46
2022-12-01,13.12,4.92
2022-12-02,11.5,3.34
2022-12-03,11.51,1.78
2022-12-04,11.13,3.73
2022-12-05,11.9,4.01
2022-12-06,14.16,7.93
2022-12-07,14.06,7.27
2022-12-08,13.36,8.35
2022-12-09,15.31,9.21
2022-12-10,13.17,5.79
2022-12-11,9.84,5.11
2022-12-12,13.23,7.04
2022-12-13,15.1,9.98
2022-12-14,16.66,10.21
2022-12-15,14.82,9.14
2022-12-16,14.11,7.16
2022-12-17,13.34,6.21
2022-12-18,14.04,5.17
2022-12-19,14.9,6.68
2022-12-20,14.66,7.8
2022-12-21,16.0,8.91
2022-12-22,16.75,9.7
2022-12-23,17.59,9.74
2022-12-24,16.34,8.7
2022-12-25,16.52,7.14
2022-12-26,16.75,7.03
2022-12-27,15.87,5.62
2022-12-28,14.9,4.97
2022-12-29,14.98,7.05
2022-12-30,16.83,8.57
2022-12-31,17.49,6.88
2023-01-01,16.14,7.01
2023-01-02,13.93,6.49
2023-01-03,14.66,5.24
2023-01-04,13.81,3.8
2023-01-05,13.49,2.92
2023-01-06,12.46,1.78
2023-01-07,13.26,2.92
2023-01-08,14.97,8.42
2023-01-09,15.09,6.91
2023-01-10,14.18,4.2
2023-01-11,13.04,4.49
2023-01-12,13.07,3.31
2023-01-13,13.8,4.06
2023-01-14,14.02,2.88
2023-01-15,13.42,4.99
2023-01-16,13.04,4.9
2023-01-17,13.56,4.77
2023-01-18,9.63,3.16
2023-01-19,10.31,2.06
2023-01-20,13.27,4.43
2023-01-21,10.8,1.16
2023-01-22,9.54,-0.57
2023-01-23,8.9,-1.01
2023-01-24,6.72,0.67
2023-01-25,11.3,0.75
2023-01-26,10.03,0.61
2023-01-27,9.75,0.55
2023-01-28,9.42,0.2
2023-01-29,8.82,0.06
2023-01-30,10.92,-0.99
2023-01-31,12.23,-0.34
2023-02-01,13.23,0.9
2023-02-02,14.62,0.83
2023-02-03,15.73,0.57
2023-02-04,18.63,1.24
2023-02-05,15.72,3.27
2023-02-06,11.44,2.51
2023-02-07,10.2,2.99
2023-02-08,11.09,4.0
2023-02-09,11.28,3.0
2023-02-10,11.88,1.06
2023-02-11,12.45,-0.07
2023-02-12,13.08,0.32
2023-02-13,13.65,1.23
2023-02-14,13.49,3.07
